"","pid","yearbuilt"
"745","10319","1920"
"746","1032","1915"
"747","10320","1900"
"748","10321","1968"
"749","10322","1918"
"750","10323","1920"
"751","10324","1950"
"752","10325","1910"
"753","10326","1900"
"754","10327","1950"
"755","10328","1950"
"756","10329","1950"
"757","1033","1920"
"758","10330","1950"
"759","10331","1948"
"760","10332","1940"
"761","10333","1947"
"762","10334","1947"
"763","10335","1947"
"764","10336","1947"
"765","10337","1950"
"766","10338","1900"
"767","10339","1920"
"768","1034","1900"
"769","10340","1920"
"770","10341","1900"
"771","10342","1920"
"772","10343","1918"
"773","10344","1900"
"774","10345","1900"
"775","10346","1930"
"776","10347","1900"
"777","10348","1900"
"778","10349","1900"
"779","1035","1920"
"780","10350","1900"
"781","10351","1900"
"782","10352","1900"
"783","10353",""
"784","10355","1900"
"785","10356","1865"
"786","10357","1865"
"787","10358","1865"
"788","10359","1865"
"789","1036","1920"
"790","10360","1865"
"791","10361","1865"
"792","10362","1915"
"793","10363","1900"
"794","10364","2006"
"795","10365","1900"
"796","10366","1900"
"797","10367","1900"
"798","10368","1900"
"799","10369","1900"
"800","1037","1920"
"801","10370","1874"
"802","10371","1900"
"803","10372","1900"
"804","10373","1900"
"805","10374","1900"
"806","10375","2004"
"807","10376","1900"
"808","10377",""
"809","10378","1900"
"810","10379","1900"
"811","1038","1928"
"812","10380","1900"
"813","10381","1900"
"814","10382","1900"
"815","103821","1910"
"816","10383",""
"817","10384","1982"
"818","10385","1891"
"819","10386","1900"
"820","103860","2005"
"821","103861","2005"
"822","103862","2005"
"823","10387","1955"
"824","10388","1862"
"825","103880","2005"
"826","103881","2005"
"827","103882","2005"
"828","103883","2005"
"829","10389",""
"830","1039","1930"
"831","10390","1900"
"832","103900","2005"
"833","10391","1900"
"834","10392","1900"
"835","103920","2005"
"836","103921","2005"
"837","103922","2005"
"838","103923","2005"
"839","10393","1900"
"840","10394","1900"
"841","103940","2006"
"842","103941","2006"
"843","103942","2006"
"844","10395","1900"
"845","10396","1900"
"846","103960","2006"
"847","103961","2006"
"848","103962","2006"
"849","103963","2006"
"850","103964","2006"
"851","103965","1976"
"852","103966","1976"
"853","103967","1989"
"854","10397","1900"
"855","10398","1900"
"856","103980","2006"
"857","103981","2006"
"858","103982","2006"
"859","103983","2006"
"860","103984","2006"
"861","103985","2006"
"862","103986","2006"
"863","103987","2006"
"864","103988","2006"
"865","103989","2006"
"866","10399","1900"
"867","103990","2006"
"868","104","1969"
"869","1040","1920"
"870","10400","1900"
"871","104000","2006"
"872","10401","1900"
"873","10402","1900"
"874","104020","2007"
"875","104021","2007"
"876","104022","2007"
"877","104023","2007"
"878","104024","2006"
"879","104025","2006"
"880","10403","1930"
"881","10404","1900"
"882","104040",""
"883","104041","2006"
"884","104042","1989"
"885","10405","1877"
"886","10406","1900"
"887","104060","1910"
"888","104061","1910"
"889","104062","1910"
"890","10407","1900"
"891","10408","1900"
"892","104080","2006"
"893","10409","1918"
"894","1041","1900"
"895","10410","1900"
"896","10411","1900"
"897","104113","2006"
"898","104114","2006"
"899","104115","2006"
"900","104117","1890"
"901","104118","1890"
"902","104119","1890"
"903","10412","1900"
"904","104120","1965"
"905","104121","1965"
"906","104122","1890"
"907","104123","1890"
"908","104124","1890"
"909","104125","1890"
"910","104126","1890"
"911","10413","1900"
"912","10414","1900"
"913","104140","2006"
"914","104141","2006"
"915","10415","1900"
"916","10416","1930"
"917","104160",""
"918","10417","1900"
"919","10418","1890"
"920","104180","1916"
"921","10419","1925"
"922","1042","1930"
"923","10420","1900"
"924","10421","1900"
"925","10422","1910"
"926","104220","1900"
"927","104221","1900"
"928","104222","1900"
"929","104223","1900"
"930","104224","1900"
"931","104225","1900"
"932","104226","1900"
"933","104227","1900"
"934","104228","1900"
"935","104229","1900"
"936","10423","1900"
"937","104230","1900"
"938","104231","1900"
"939","10424","1920"
"940","104241","1900"
