"pid","location","ggmap","census"
170,"675 TOWNSEND AV #170","cec82","dk762"
171,"675 TOWNSEND AV #171","cec82","dk762"
172,"675 TOWNSEND AV #178","cec82","dk762"
173,"675 TOWNSEND AV #179","cec82","dk762"
174,"675 TOWNSEND AV #180","cec82","dk762"
175,"675 TOWNSEND AV #181","cec82","dk762"
176,"675 TOWNSEND AV #190","cec82","dk762"
177,"675 TOWNSEND AV #191","cec82","dk762"
178,"675 TOWNSEND AV #192","cec82","dk762"
179,"675 TOWNSEND AV #193","cec82","dk762"
180,"675 TOWNSEND AV #186","cec82","dk762"
181,"675 TOWNSEND AV #187","cec82","dk762"
182,"675 TOWNSEND AV #188","cec82","dk762"
183,"675 TOWNSEND AV #189","cec82","dk762"
184,"675 TOWNSEND AV #182","cec82","dk762"
185,"675 TOWNSEND AV #183","cec82","dk762"
186,"675 TOWNSEND AV #184","cec82","dk762"
187,"675 TOWNSEND AV #185","cec82","dk762"
188,"675 TOWNSEND AV #176","cec82","dk762"
189,"675 TOWNSEND AV #177","cec82","dk762"
190,"675 TOWNSEND AV #172","cec82","dk762"
191,"675 TOWNSEND AV #173","cec82","dk762"
192,"675 TOWNSEND AV #174","cec82","dk762"
193,"675 TOWNSEND AV #175","cec82","dk762"
194,"675 TOWNSEND AV #152","cec82","dk762"
195,"675 TOWNSEND AV #153","cec82","dk762"
196,"675 TOWNSEND AV #148","cec82","dk762"
197,"675 TOWNSEND AV #149","cec82","dk762"
198,"675 TOWNSEND AV #150","cec82","dk762"
199,"675 TOWNSEND AV #151","cec82","dk762"
200,"675 TOWNSEND AV #144","cec82","dk762"
201,"675 TOWNSEND AV #145","cec82","dk762"
202,"675 TOWNSEND AV #146","cec82","dk762"
203,"675 TOWNSEND AV #147","cec82","dk762"
204,"675 TOWNSEND AV #128","cec82","dk762"
205,"675 TOWNSEND AV #129","cec82","dk762"
206,"675 TOWNSEND AV #130","cec82","dk762"
207,"675 TOWNSEND AV #131","cec82","dk762"
208,"675 TOWNSEND AV #126","cec82","dk762"
209,"675 TOWNSEND AV #127","cec82","dk762"
210,"675 TOWNSEND AV #122","cec82","dk762"
211,"675 TOWNSEND AV #123","cec82","dk762"
212,"675 TOWNSEND AV #124","cec82","dk762"
213,"675 TOWNSEND AV #125","cec82","dk762"
214,"675 TOWNSEND AV #112","cec82","dk762"
215,"675 TOWNSEND AV #113","cec82","dk762"
216,"675 TOWNSEND AV #114","cec82","dk762"
217,"675 TOWNSEND AV #115","cec82","dk762"
218,"675 TOWNSEND AV #108","cec82","dk762"
219,"675 TOWNSEND AV #109","cec82","dk762"
220,"675 TOWNSEND AV #110","cec82","dk762"
221,"675 TOWNSEND AV #111","cec82","dk762"
222,"675 TOWNSEND AV #104","cec82","dk762"
223,"675 TOWNSEND AV #105","cec82","dk762"
224,"675 TOWNSEND AV #106","cec82","dk762"
225,"675 TOWNSEND AV #107","cec82","dk762"
226,"675 TOWNSEND AV #101","cec82","dk762"
227,"675 TOWNSEND AV #102","cec82","dk762"
228,"675 TOWNSEND AV #103","cec82","dk762"
229,"108 LAURA LA","cec82","dk762"
230,"102 LAURA LA","cec82","dk762"
231,"96 LAURA LA","cec82","dk762"
232,"LAURA LA","cec82","dk762"
233,"LAURA LA","cec82","dk762"
234,"86 LAURA LA","cec82","dk762"
235,"80 LAURA LA","cec82","dk762"
236,"76 LAURA LA","cec82","dk762"
237,"72 LAURA LA","cec82","dk762"
238,"68 LAURA LA","cec82","dk762"
239,"62 LAURA LA","cec82","dk762"
240,"56 LAURA LA","cec82","dk762"
241,"50 LAURA LA","cec82","dk762"
242,"46 LAURA LA","cec82","dk762"
243,"42 LAURA LA","cec82","dk762"
244,"38 LAURA LA","cec82","dk762"
245,"32 LAURA LA","cec82","dk762"
246,"24 LAURA LA","cec82","dk762"
247,"16 LAURA LA","cec82","dk762"
248,"10 LAURA LA","cec82","dk762"
249,"4 LAURA LA","cec82","dk762"
250,"115 LAURA LA","cec82","dk762"
251,"107 LAURA LA","cec82","dk762"
252,"101 LAURA LA","cec82","dk762"
253,"95 LAURA LA","cec82","dk762"
254,"87 LAURA LA","cec82","dk762"
255,"81 LAURA LA","cec82","dk762"
256,"35 LAURA LA","cec82","dk762"
257,"29 LAURA LA","cec82","dk762"
258,"23 LAURA LA","cec82","dk762"
259,"17 LAURA LA","cec82","dk762"
260,"11 LAURA LA","cec82","dk762"
261,"5 LAURA LA","cec82","dk762"
262,"159 HUNTINGTON RD","cec82","dk762"
263,"157 HUNTINGTON RD","cec82","dk762"
264,"151 HUNTINGTON RD","cec82","dk762"
265,"155 HUNTINGTON RD","cec82","dk762"
266,"145 HUNTINGTON RD","cec82","dk762"
267,"137 HUNTINGTON RD","cec82","dk762"
268,"129 HUNTINGTON RD","cec82","dk762"
269,"123 HUNTINGTON RD","cec82","dk762"
270,"115 HUNTINGTON RD","cec82","dk762"
271,"107 HUNTINGTON RD","cec82","dk762"
272,"99 HUNTINGTON RD","cec82","dk762"
273,"91 HUNTINGTON RD","cec82","dk762"
274,"83 HUNTINGTON RD","cec82","dk762"
275,"75 HUNTINGTON RD","cec82","dk762"
276,"65 HUNTINGTON RD","cec82","dk762"
277,"44 ELIZABETH ANN DR","cec82","dk762"
278,"52 ELIZABETH ANN DR","cec82","dk762"
279,"56 ELIZABETH ANN DR","cec82","dk762"
280,"60 ELIZABETH ANN DR","cec82","dk762"
281,"66 ELIZABETH ANN DR","cec82","dk762"
282,"CHARTER OAK AV","cec82","dk762"
283,"CHARTER OAK AV","cec82","dk762"
284,"CHARTER OAK AV","cec82","dk762"
285,"CHARTER OAK AV","cec82","dk762"
286,"CHARTER OAK AV","cec82","dk762"
287,"CHARTER OAK AV","cec82","dk762"
288,"125 HUNTINGTON RD","cec82","dk762"
289,"CHARTER OAK AV","cec82","dk762"
290,"CHARTER OAK AV","cec82","dk762"
291,"4 HUGHES ST EX","cec82","dk762"
292,"8 HUGHES ST EX","cec82","dk762"
293,"72 ELIZABETH ANN DR","cec82","dk762"
294,"78 ELIZABETH ANN DR","cec82","dk762"
295,"84 ELIZABETH ANN DR","cec82","dk762"
296,"88 ELIZABETH ANN DR","cec82","dk762"
297,"94 ELIZABETH ANN DR","cec82","dk762"
